 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.1810E+02

Qext= 2.0959E+00 Qsca= 2.0959E+00 Qabs= 0.0000E+00 <cos>= 8.2795E-01
                 Qbk = 5.1624E-03
  theta       S11           POL           S33           S34
  76.93   1.36766E+03  -1.74253E-01   8.83400E+02   1.01651E+03
  77.43   5.44378E+02  -9.61847E-01  -1.38171E+02  -5.55901E+01
  77.93   1.08637E+03   3.69805E-01   8.86264E+02  -4.83052E+02
  78.44   1.71328E+03   1.88177E-01   1.46847E+03   8.21566E+02
  78.94   6.25967E+02  -4.96444E-01  -5.97980E+01   5.40082E+02
  79.44   7.81242E+02   2.20808E-01   3.41057E+02  -6.81368E+02
  79.94   1.83311E+03   3.62698E-01   1.70446E+03   1.14347E+02
  80.45   8.64484E+02   1.49217E-01   3.94054E+02   7.58560E+02
  80.95   4.81886E+02  -1.79328E-01  -1.02686E+02  -4.62820E+02
  81.45   1.60879E+03   3.57674E-01   1.38720E+03  -5.76878E+02
  81.96   1.06991E+03   5.18770E-01   7.65223E+02   5.01071E+02
  82.46   3.38250E+02  -5.74739E-01  -2.74790E+02  -3.33212E+01
  82.96   1.10650E+03   5.89202E-02   7.25035E+02  -8.33318E+02
  83.46   9.76657E+02   6.21899E-01   7.64732E+02  -1.14403E+01
  83.97   3.67627E+02  -2.37968E-01  -1.71388E+02   3.13245E+02
  84.47   7.05005E+02  -5.99096E-01   1.44911E+02  -5.45564E+02
  84.97   6.67209E+02   4.73427E-01   4.24667E+02  -4.06263E+02
  85.47   4.27586E+02   2.87226E-01   8.79947E+01   4.00005E+02
  85.98   5.66061E+02  -9.87983E-01   1.99475E+01   8.51893E+01
  86.48   3.82806E+02  -1.11263E-01   2.45659E+01  -3.79635E+02
  86.98   5.12978E+02   7.06552E-01   2.60126E+02   2.53208E+02
  87.49   7.33881E+02  -2.88990E-01   3.04035E+02   6.33375E+02
  87.99   2.60863E+02  -8.05685E-01  -1.53639E+02   1.64843E+01
  88.49   5.23490E+02   8.68584E-01   2.59092E+02  -1.28614E+01
  88.99   1.07658E+03   3.86263E-01   6.99923E+02   7.04420E+02
  89.50   4.45411E+02   8.05424E-02  -7.80125E+01   4.37056E+02
  90.00   5.08998E+02   8.51709E-01   9.15577E+01  -2.50516E+02
  90.50   1.32116E+03   6.93631E-01   9.24139E+02   2.27271E+02
  91.01   7.57962E+02   6.81865E-01   1.64284E+02   5.29533E+02
  91.51   4.93268E+02   7.24650E-01  -1.38533E+02  -3.10409E+02
  92.01   1.35496E+03   7.60023E-01   7.80128E+02  -4.08450E+02
  92.51   1.01281E+03   9.16699E-01   3.31702E+02   2.31847E+02
  93.02   4.23122E+02   5.60875E-01  -2.80302E+02  -2.10103E+02
  93.52   1.04928E+03   5.84661E-01   4.34315E+02  -7.32131E+02
  94.02   9.96559E+02   9.29806E-01   3.21276E+02  -1.76949E+02
  94.53   3.61493E+02   5.06078E-01  -3.03534E+02  -7.12464E+01
  95.03   6.20397E+02   8.15630E-02   1.37771E+02  -6.02786E+02
  95.53   6.61650E+02   7.28104E-01   2.41676E+02  -3.83784E+02
  96.03   2.08004E+02   5.59080E-01  -1.72092E+02   1.12403E+01
  96.54   2.99716E+02  -6.81705E-01   7.82802E+01  -2.04832E+02
  97.04   3.19730E+02   1.71223E-01   1.82904E+02  -2.56469E+02
  97.54   6.19003E+01   7.58336E-01  -3.91034E+01   9.95445E+00
  98.04   1.99077E+02  -3.14597E-01   1.69293E+02   8.39599E+01
  98.55   1.99608E+02  -2.90345E-02   1.93922E+02   4.69481E+01
  99.05   5.15638E+00  -3.09357E-01  -4.25760E+00  -2.43240E+00
  99.55   2.67028E+02   7.51461E-01   1.74467E+02   2.44987E+01
 100.06   3.82824E+02   7.95305E-01   1.48476E+02   1.78359E+02
 100.56   1.34479E+02   4.96830E-01  -1.06425E+02   4.78992E+01
 101.06   3.30181E+02   8.02336E-01   1.68660E+01  -1.96353E+02
 101.56   5.89989E+02   9.98729E-01   2.91399E+01   5.95461E+00
 102.07   3.44913E+02   6.87009E-01  -2.22000E+02   1.16327E+02
