 radius= 1.0000E+00 lambda= 5.3200E-01 x= 1.1810E+01

Qext= 2.8352E+00 Qsca= 2.8352E+00 Qabs= 0.0000E+00 <cos>= 8.1030E-01
                 Qbk = 1.7245E-02
  theta       S11           POL           S33           S34
  91.51   9.62105E+00   3.60049E-01   7.42856E+00  -5.03800E+00
  92.01   9.03556E+00   4.87331E-01   7.01704E+00  -3.60741E+00
  92.51   8.53012E+00   5.86851E-01   6.58513E+00  -2.08324E+00
  93.02   8.12684E+00   6.47984E-01   6.16671E+00  -5.34685E-01
  93.52   7.84126E+00   6.62483E-01   5.79261E+00   9.72714E-01
  94.02   7.68130E+00   6.27247E-01   5.48860E+00   2.37989E+00
  94.53   7.64669E+00   5.46061E-01   5.27372E+00   3.63654E+00
  95.03   7.72900E+00   4.29164E-01   5.15923E+00   4.70290E+00
  95.53   7.91209E+00   2.90643E-01   5.14797E+00   5.55081E+00
  96.03   8.17314E+00   1.44927E-01   5.23444E+00   6.16423E+00
  96.54   8.48398E+00   3.95797E-03   5.40538E+00   6.53902E+00
  97.04   8.81293E+00  -1.24127E-01   5.64080E+00   6.68224E+00
  97.54   9.12665E+00  -2.34938E-01   5.91559E+00   6.61089E+00
  98.04   9.39226E+00  -3.27015E-01   6.20128E+00   6.35020E+00
  98.55   9.57936E+00  -4.00816E-01   6.46814E+00   5.93170E+00
  99.05   9.66189E+00  -4.57855E-01   6.68724E+00   5.39105E+00
  99.55   9.61981E+00  -5.00092E-01   6.83253E+00   4.76587E+00
 100.06   9.44030E+00  -5.29550E-01   6.88263E+00   4.09359E+00
 100.56   9.11864E+00  -5.48107E-01   6.82238E+00   3.40951E+00
 101.06   8.65856E+00  -5.57402E-01   6.64392E+00   2.74513E+00
 101.56   8.07207E+00  -5.58801E-01   6.34733E+00   2.12684E+00
 102.07   7.37888E+00  -5.53397E-01   5.94077E+00   1.57495E+00
 102.57   6.60525E+00  -5.42030E-01   5.44003E+00   1.10327E+00
 103.07   5.78258E+00  -5.25306E-01   4.86767E+00   7.18925E-01
 103.58   4.94558E+00  -5.03622E-01   4.25164E+00   4.22747E-01
 104.08   4.13039E+00  -4.77219E-01   3.62364E+00   2.09901E-01
